"LogMode","MaximumSizeInBytes","RecordCount","LogName","TimeCreated","LevelDisplayName"
"Circular","15728640","7994","Windows PowerShell","12.12.2024 12:09:36","????????"
"Circular","15728640","7994","Windows PowerShell","12.12.2024 12:09:27","Сведения"
"Circular","15728640","7994","Windows PowerShell","12.12.2024 12:09:27","Сведения"
"Circular","20971520","41772","System","12.12.2024 12:00:00","Сведения"
"Circular","20971520","41772","System","12.12.2024 11:01:29","Сведения"
"Circular","20971520","41772","System","12.12.2024 10:59:13","Предупреждение"
"Circular","20971520","26081","Security","12.12.2024 12:09:20","Сведения"
"Circular","20971520","26081","Security","12.12.2024 12:09:20","Сведения"
"Circular","20971520","26081","Security","12.12.2024 12:09:20","Сведения"
"Circular","1052672","3198","OneApp_IGCC","12.12.2024 8:55:53","Сведения"
"Circular","1052672","3198","OneApp_IGCC","12.12.2024 8:55:50","Сведения"
"Circular","1052672","3198","OneApp_IGCC","12.12.2024 8:55:50","Сведения"
"Circular","1052672","1774","OAlerts","12.12.2024 11:06:47","Сведения"
"Circular","1052672","1774","OAlerts","12.12.2024 11:06:47","Сведения"
"Circular","1052672","1774","OAlerts","12.12.2024 10:59:46","Сведения"
"Circular","1052672","1260","Kaspersky Endpoint Security","12.12.2024 8:55:41","Сведения"
"Circular","1052672","1260","Kaspersky Endpoint Security","12.12.2024 8:55:41","Сведения"
"Circular","1052672","1260","Kaspersky Endpoint Security","12.12.2024 8:55:41","Предупреждение"
"Circular","20971520","25220","Application","12.12.2024 12:07:59","Сведения"
"Circular","20971520","25220","Application","12.12.2024 12:07:59","Сведения"
"Circular","20971520","25220","Application","12.12.2024 11:59:01","Сведения"
"Circular","1052672","218","Setup","12.12.2024 10:56:38","Сведения"
"Circular","1052672","218","Setup","12.12.2024 10:43:40","Сведения"
"Circular","1052672","218","Setup","15.11.2024 10:51:50","Сведения"
"Circular","1052672","641","Microsoft-Windows-WWAN-SVC-Events/Operational","28.09.2023 14:23:36","Сведения"
"Circular","1052672","641","Microsoft-Windows-WWAN-SVC-Events/Operational","28.09.2023 14:23:36","Сведения"
"Circular","1052672","641","Microsoft-Windows-WWAN-SVC-Events/Operational","28.09.2023 14:23:36","Сведения"
"Circular","1052672","38","Microsoft-Windows-WPD-MTPClassDriver/Operational","24.07.2024 15:05:33","Сведения"
"Circular","1052672","38","Microsoft-Windows-WPD-MTPClassDriver/Operational","24.07.2024 15:01:46","Сведения"
"Circular","1052672","38","Microsoft-Windows-WPD-MTPClassDriver/Operational","24.07.2024 15:01:46","Сведения"
"Circular","1052672","1","Microsoft-Windows-WPD-ClassInstaller/Operational","14.05.2024 14:50:41","Сведения"
"Circular","1052672","1453","Microsoft-Windows-WMI-Activity/Operational","12.12.2024 11:57:01","Сведения"
"Circular","1052672","1453","Microsoft-Windows-WMI-Activity/Operational","12.12.2024 11:55:35","Сведения"
"Circular","1052672","1453","Microsoft-Windows-WMI-Activity/Operational","12.12.2024 11:51:58","Сведения"
"Circular","1052672","1398","Microsoft-Windows-WLAN-AutoConfig/Operational","12.12.2024 10:36:26","Ошибка"
"Circular","1052672","1398","Microsoft-Windows-WLAN-AutoConfig/Operational","12.12.2024 10:36:16","Сведения"
"Circular","1052672","1398","Microsoft-Windows-WLAN-AutoConfig/Operational","12.12.2024 10:36:16","Сведения"
"Circular","1052672","1622","Microsoft-Windows-WinRM/Operational","12.12.2024 11:01:33","Ошибка"
"Circular","1052672","1622","Microsoft-Windows-WinRM/Operational","12.12.2024 11:01:33","Ошибка"
"Circular","1052672","1622","Microsoft-Windows-WinRM/Operational","12.12.2024 11:01:33","Сведения"
"Circular","1052672","2592","Microsoft-Windows-Winlogon/Operational","12.12.2024 8:55:50","Сведения"
"Circular","1052672","2592","Microsoft-Windows-Winlogon/Operational","12.12.2024 8:55:50","Сведения"
"Circular","1052672","2592","Microsoft-Windows-Winlogon/Operational","12.12.2024 8:55:50","Сведения"
"Circular","1052672","7","Microsoft-Windows-WinINet-Config/ProxyConfigChanged","26.11.2024 8:49:18","Сведения"
"Circular","1052672","7","Microsoft-Windows-WinINet-Config/ProxyConfigChanged","26.11.2024 8:49:06","Сведения"
"Circular","1052672","7","Microsoft-Windows-WinINet-Config/ProxyConfigChanged","26.11.2024 8:42:40","Сведения"
"Circular","1052672","1397","Microsoft-Windows-WindowsUpdateClient/Operational","12.12.2024 10:43:38","Сведения"
"Circular","1052672","1397","Microsoft-Windows-WindowsUpdateClient/Operational","12.12.2024 9:11:28","Сведения"
"Circular","1052672","1397","Microsoft-Windows-WindowsUpdateClient/Operational","12.12.2024 9:01:22","Сведения"
"Circular","1052672","634","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","18.11.2024 13:28:52","Сведения"
"Circular","1052672","634","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","18.11.2024 13:28:52","Сведения"
"Circular","1052672","634","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","18.11.2024 13:28:52","Сведения"
"Circular","1052672","36","Microsoft-Windows-Windows Firewall With Advanced Security/FirewallDiagnostics","27.10.2024 21:14:40","4"
"Circular","1052672","36","Microsoft-Windows-Windows Firewall With Advanced Security/FirewallDiagnostics","29.01.2024 22:33:49","4"
"Circular","1052672","36","Microsoft-Windows-Windows Firewall With Advanced Security/FirewallDiagnostics","05.12.2023 0:01:08","4"
"Circular","1052672","1145","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","12.12.2024 11:03:17","Сведения"
"Circular","1052672","1145","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","12.12.2024 11:03:17","Сведения"
"Circular","1052672","1145","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","12.12.2024 10:59:13","Сведения"
"Circular","16777216","6155","Microsoft-Windows-Windows Defender/Operational","02.12.2024 7:46:38","Сведения"
"Circular","16777216","6155","Microsoft-Windows-Windows Defender/Operational","02.12.2024 7:46:35","Сведения"
"Circular","16777216","6155","Microsoft-Windows-Windows Defender/Operational","02.12.2024 7:44:00","Сведения"
"Circular","1052672","75","Microsoft-Windows-WFP/Operational","30.11.2024 16:52:28","Предупреждение"
"Circular","1052672","75","Microsoft-Windows-WFP/Operational","29.11.2024 16:35:57","Предупреждение"
"Circular","1052672","75","Microsoft-Windows-WFP/Operational","07.11.2024 14:04:19","Предупреждение"
"Circular","1052672","350","Microsoft-Windows-WER-PayloadHealth/Operational","12.12.2024 10:54:28","Сведения"
"Circular","1052672","350","Microsoft-Windows-WER-PayloadHealth/Operational","10.12.2024 15:16:10","Сведения"
"Circular","1052672","350","Microsoft-Windows-WER-PayloadHealth/Operational","09.12.2024 14:54:28","Сведения"
"Circular","5242880","579","Microsoft-Windows-WebAuthN/Operational","12.12.2024 8:55:36","Success"
"Circular","5242880","579","Microsoft-Windows-WebAuthN/Operational","12.12.2024 6:53:02","Success"
"Circular","5242880","579","Microsoft-Windows-WebAuthN/Operational","03.12.2024 16:35:57","Сведения"
"Circular","1052672","2442","Microsoft-Windows-Wcmsvc/Operational","12.12.2024 11:59:01","Сведения"
"Circular","1052672","2442","Microsoft-Windows-Wcmsvc/Operational","12.12.2024 10:36:26","Сведения"
"Circular","1052672","2442","Microsoft-Windows-Wcmsvc/Operational","12.12.2024 10:36:26","Сведения"
"Circular","1052672","1979","Microsoft-Windows-VolumeSnapshot-Driver/Operational","12.12.2024 8:55:27","Сведения"
"Circular","1052672","1979","Microsoft-Windows-VolumeSnapshot-Driver/Operational","12.12.2024 8:55:27","Сведения"
"Circular","1052672","1979","Microsoft-Windows-VolumeSnapshot-Driver/Operational","12.12.2024 8:55:27","Сведения"
"Circular","1052672","2046","Microsoft-Windows-VHDMP-Operational","09.12.2024 12:35:55","Сведения"
"Circular","1052672","2046","Microsoft-Windows-VHDMP-Operational","09.12.2024 12:35:55","Сведения"
"Circular","1052672","2046","Microsoft-Windows-VHDMP-Operational","09.12.2024 12:35:55","Сведения"
"Circular","1052672","334","Microsoft-Windows-UserPnp/DeviceInstall","09.12.2024 9:07:20","Сведения"
"Circular","1052672","334","Microsoft-Windows-UserPnp/DeviceInstall","09.12.2024 9:07:20","Сведения"
"Circular","1052672","334","Microsoft-Windows-UserPnp/DeviceInstall","09.12.2024 9:04:50","Сведения"
"Circular","4194304","5382","Microsoft-Windows-User Profile Service/Operational","12.12.2024 8:57:42","Сведения"
"Circular","4194304","5382","Microsoft-Windows-User Profile Service/Operational","12.12.2024 8:57:42","Сведения"
"Circular","4194304","5382","Microsoft-Windows-User Profile Service/Operational","12.12.2024 8:57:42","Сведения"
"Circular","1052672","682","Microsoft-Windows-User Device Registration/Admin","12.12.2024 8:55:52","Предупреждение"
"Circular","1052672","682","Microsoft-Windows-User Device Registration/Admin","12.12.2024 6:53:22","Предупреждение"
"Circular","1052672","682","Microsoft-Windows-User Device Registration/Admin","11.12.2024 14:22:28","Предупреждение"
"Circular","1052672","1896","Microsoft-Windows-UniversalTelemetryClient/Operational","12.12.2024 11:55:41","Сведения"
"Circular","1052672","1896","Microsoft-Windows-UniversalTelemetryClient/Operational","12.12.2024 11:25:41","Сведения"
"Circular","1052672","1896","Microsoft-Windows-UniversalTelemetryClient/Operational","12.12.2024 11:24:48","Сведения"
